#    N 	        NAME	       S[cm]	       BetaX	       AlfaX	       BetaY	       AlfaY	        DspX	       DspXp	        DspY	       DspYp	         NuX	         NuY	  Energy[MeV]
    25	       oD108	      810.76	     2016.27	   -0.141873	     1911.15	   -0.148066	           0	           0	           0	           0	   0.0644867	   0.0674932	      675.739
    26	       aR128	      860.76	      2031.7	   -0.166708	     1927.28	   -0.174363	           0	           0	           0	           0	   0.0684188	     0.07164	      679.489
    27	       oD110	      960.00	     2069.77	   -0.216911	     1967.15	   -0.227421	           0	           0	           0	           0	    0.076124	   0.0797553	      679.489
    28	   kMAT1L03V	      960.00	     2069.77	   -0.216911	     1967.15	   -0.227421	           0	           0	           0	           0	    0.076124	   0.0797553	      679.489
    29	       oD104	      977.98	     2077.73	   -0.226005	      1975.5	   -0.237031	           0	           0	           0	           0	   0.0775036	   0.0812065	      679.489
    30	    iIPM1L03	      977.98	     2077.73	   -0.226005	      1975.5	   -0.237031	           0	           0	           0	           0	   0.0775036	   0.0812065	      679.489
    31	       oD105	      979.82	     2078.57	   -0.226939	     1976.38	   -0.238019	           0	           0	           0	           0	   0.0776451	   0.0813554	      679.489
    32	    qMQ1L03A	      989.82	     2027.23	     5.31441	     2035.35	    -5.71223	           0	           0	           0	           0	   0.0784169	   0.0821525	      679.489
    33	       oD106	      999.82	     1922.38	     5.17016	     2151.24	    -5.87746	           0	           0	           0	           0	   0.0792231	   0.0829131	      679.489
    34	    qMQ1L03B	     1019.82	     1921.65	    -5.13232	     2151.94	     5.84398	           0	           0	           0	           0	   0.0809093	    0.084366	      679.489
    35	       oD106	     1029.82	     2025.72	     -5.2746	     2036.69	     5.68063	           0	           0	           0	           0	   0.0817159	   0.0851263	      679.489
    36	    qMQ1L03C	     1039.82	     2076.68	    0.224637	     1978.01	    0.239645	           0	           0	           0	           0	   0.0824884	   0.0859228	      679.489
    37	       oD105	     1041.67	     2075.85	    0.223702	     1977.13	    0.238657	           0	           0	           0	           0	   0.0826301	   0.0860715	      679.489
    38	       oD107	     1122.58	     2042.96	    0.182775	     1942.01	    0.195403	           0	           0	           0	           0	   0.0888848	    0.092645	      679.489
    39	       aR131	     1172.58	     2025.93	    0.157939	     1923.79	    0.169106	           0	           0	           0	           0	   0.0927967	   0.0967625	      683.239
    40	       oD108	     1197.58	     2018.35	    0.145291	     1915.66	     0.15574	           0	           0	           0	           0	   0.0947644	   0.0988352	      683.239
    41	       aR132	     1247.58	     2005.06	    0.120441	     1901.41	    0.129429	           0	           0	           0	           0	   0.0987205	    0.103005	      686.989
    42	       oD109	     1313.64	     1991.35	   0.0870168	     1886.64	   0.0941042	           0	           0	           0	           0	    0.103983	    0.108557	      686.989
    43	       aR133	     1363.64	      1983.9	   0.0621547	     1878.55	   0.0677807	           0	           0	           0	           0	    0.107987	    0.112785	      690.739
    44	       oD108	     1388.64	      1981.1	   0.0495045	     1875.49	   0.0544114	           0	           0	           0	           0	    0.109994	    0.114905	      690.739
    45	       aR134	     1438.64	      1977.4	   0.0246347	     1871.37	   0.0280801	           0	           0	           0	           0	    0.114015	    0.119153	      694.489
    46	       oD109	     1504.70	     1976.35	 -0.00879317	     1869.99	 -0.00724812	           0	           0	           0	           0	    0.119335	    0.124775	      694.489
    47	       aR135	     1554.70	     1978.47	  -0.0336682	     1872.03	  -0.0335845	           0	           0	           0	           0	    0.123359	    0.129028	      698.239
    48	       oD108	     1579.70	     1980.47	  -0.0463185	     1874.04	  -0.0469541	           0	           0	           0	           0	     0.12537	    0.131153	      698.239
    49	       aR136	     1629.70	     1986.35	   -0.071196	     1880.06	  -0.0732926	           0	           0	           0	           0	    0.129382	    0.135393	      701.989
    50	       oD109	     1695.76	     1997.96	   -0.104622	     1892.07	   -0.108619	           0	           0	           0	           0	    0.134661	    0.140968	      701.989
    51	       aR137	     1745.76	     2009.67	   -0.129497	     1904.25	   -0.134955	           0	           0	           0	           0	    0.138632	    0.145161	      705.739
    52	       oD108	     1770.76	     2016.46	   -0.142146	     1911.34	   -0.148323	           0	           0	           0	           0	    0.140609	    0.147247	      705.739
    53	       aR138	     1820.76	     2031.92	   -0.167019	     1927.48	   -0.174656	           0	           0	           0	           0	    0.144541	    0.151393	      709.489
    54	       oD111	     1898.03	     2060.75	   -0.206107	     1957.67	   -0.215967	           0	           0	           0	           0	    0.150552	    0.157726	      709.489
    55	   kMAT1L04H	     1898.03	     2060.75	   -0.206107	     1957.67	   -0.215967	           0	           0	           0	           0	    0.150552	    0.157726	      709.489
    56	       oD112	     1937.98	     2078.02	   -0.226315	     1975.77	   -0.237324	           0	           0	           0	           0	    0.153624	    0.160958	      709.489
    57	    iIPM1L04	     1937.98	     2078.02	   -0.226315	     1975.77	   -0.237324	           0	           0	           0	           0	    0.153624	    0.160958	      709.489
    58	       oD105	     1939.82	     2078.86	    -0.22725	     1976.65	   -0.238311	           0	           0	           0	           0	    0.153766	    0.161107	      709.489
    59	    qMQ1L04A	     1949.82	     2027.52	      5.3149	     2035.64	     -5.7133	           0	           0	           0	           0	    0.154538	    0.161904	      709.489
    60	       oD106	     1959.82	     1922.67	     5.17065	     2151.56	    -5.87857	           0	           0	           0	           0	    0.155344	    0.162665	      709.489
    61	    qMQ1L04B	     1979.82	     1921.95	    -5.13338	     2152.26	      5.8446	           0	           0	           0	           0	     0.15703	    0.164117	      709.489
    62	       oD106	     1989.82	     2026.04	    -5.27569	        2037	     5.68124	           0	           0	           0	           0	    0.157836	    0.164878	      709.489
    63	    qMQ1L04C	     1999.82	     2077.01	    0.224403	     1978.32	    0.239431	           0	           0	           0	           0	    0.158608	    0.165674	      709.489
    64	       oD105	     2001.67	     2076.18	    0.223469	     1977.44	    0.238444	           0	           0	           0	           0	     0.15875	    0.165823	      709.489
    65	       oD107	     2082.58	     2043.33	    0.182552	     1942.35	    0.195201	           0	           0	           0	           0	    0.165004	    0.172395	      709.489
    66	       aR141	     2132.58	     2026.32	    0.157685	     1924.15	    0.168875	           0	           0	           0	           0	    0.168915	    0.176512	      713.239
    67	       oD108	     2157.58	     2018.75	    0.145041	     1916.04	    0.155512	           0	           0	           0	           0	    0.170882	    0.178584	      713.239
    68	       aR142	     2207.58	     2005.49	    0.120161	      1901.8	    0.129174	           0	           0	           0	           0	    0.174838	    0.182753	      716.989
    69	       oD109	     2273.64	     1991.82	   0.0867462	     1887.07	   0.0938587	           0	           0	           0	           0	    0.180099	    0.188304	      716.989
    70	       aR143	     2323.64	     1984.39	   0.0618557	        1879	   0.0675089	           0	           0	           0	           0	    0.184102	    0.192531	      720.739
    71	       oD108	     2348.64	     1981.61	   0.0492092	     1875.96	   0.0541433	           0	           0	           0	           0	    0.186109	     0.19465	      720.739
    72	       aR144	     2398.64	     1977.94	   0.0243117	     1871.87	   0.0277866	           0	           0	           0	           0	    0.190129	    0.198897	      724.489
    73	       oD109	     2464.70	     1976.93	 -0.00910646	     1870.53	  -0.0075317	           0	           0	           0	           0	    0.195446	    0.204517	      724.489
    74	       aR145	     2514.70	     1979.09	  -0.0340085	      1872.6	   -0.033893	           0	           0	           0	           0	     0.19947	     0.20877	      728.239
    75	       oD108	     2539.70	     1981.11	  -0.0466552	     1874.63	  -0.0472588	           0	           0	           0	           0	    0.201479	    0.210893	      728.239
    76	       aR146	     2589.70	     1987.02	  -0.0715593	     1880.67	  -0.0736219	           0	           0	           0	           0	    0.205491	    0.215132	      731.989
    77	       oD109	     2655.76	     1998.68	   -0.104975	     1892.73	   -0.108938	           0	           0	           0	           0	    0.210767	    0.220706	      731.989
    78	       aR147	     2705.76	     2010.42	   -0.129878	     1904.94	   -0.135299	           0	           0	           0	           0	    0.214738	    0.224897	      735.739
    79	       oD108	     2730.76	     2017.23	   -0.142523	     1912.04	   -0.148663	           0	           0	           0	           0	    0.216714	    0.226982	      735.739
    80	       aR148	     2780.76	     2032.73	   -0.167422	     1928.23	   -0.175021	           0	           0	           0	           0	    0.220644	    0.231127	      739.489
    81	       oD110	     2880.00	     2070.94	   -0.217611	     1968.23	   -0.228064	           0	           0	           0	           0	    0.228345	    0.239238	      739.489
    82	   kMDB1L05V	     2880.00	     2070.94	   -0.217611	     1968.23	   -0.228064	           0	           0	           0	           0	    0.228345	    0.239238	      739.489
    83	       oD104	     2897.98	     2078.93	   -0.226702	      1976.6	   -0.237672	           0	           0	           0	           0	    0.229724	    0.240688	      739.489
    84	    iIPM1L05	     2897.98	     2078.93	   -0.226702	      1976.6	   -0.237672	           0	           0	           0	           0	    0.229724	    0.240688	      739.489
    85	       oD105	     2899.82	     2079.77	   -0.227637	     1977.48	   -0.238659	           0	           0	           0	           0	    0.229865	    0.240837	      739.489
    86	    qMQ1L05A	     2909.82	     2028.41	     5.31694	     2036.49	    -5.71595	           0	           0	           0	           0	    0.230636	    0.241634	      739.489
    87	       oD106	     2919.82	     1923.51	     5.17264	     2152.47	     -5.8813	           0	           0	           0	           0	    0.231442	    0.242394	      739.489
    88	    qMQ1L05B	     2939.82	      1922.8	    -5.13594	     2153.18	     5.84687	           0	           0	           0	           0	    0.233127	    0.243846	      739.489
    89	       oD106	     2949.82	     2026.95	    -5.27833	     2037.88	     5.68345	           0	           0	           0	           0	    0.233933	    0.244606	      739.489
    90	    qMQ1L05C	     2959.82	     2077.95	    0.224244	     1979.18	    0.239311	           0	           0	           0	           0	    0.234705	    0.245402	      739.489
    91	       oD105	     2961.67	     2077.12	     0.22331	     1978.29	    0.238324	           0	           0	           0	           0	    0.234847	     0.24555	      739.489
    92	       oD107	     3042.58	     2044.29	    0.182414	     1943.23	    0.195102	           0	           0	           0	           0	    0.241098	     0.25212	      739.489
    93	       aR151	     3092.58	     2027.29	    0.157527	     1925.03	    0.168758	           0	           0	           0	           0	    0.245007	    0.256235	      743.239
    94	       oD108	     3117.58	     2019.73	     0.14489	     1916.93	    0.155402	           0	           0	           0	           0	    0.246973	    0.258306	      743.239
    95	       aR152	     3167.58	     2006.49	    0.119992	     1902.71	    0.129046	           0	           0	           0	           0	    0.250927	    0.262474	      746.989
    96	       oD109	     3233.64	     1992.84	   0.0865943	     1887.99	   0.0937489	           0	           0	           0	           0	    0.256186	    0.268022	      746.989
    97	       aR153	     3283.64	     1985.43	   0.0616861	     1879.93	    0.067383	           0	           0	           0	           0	    0.260187	    0.272246	      750.739
    98	       oD108	     3308.64	     1982.66	   0.0490465	      1876.9	   0.0540243	           0	           0	           0	           0	    0.262192	    0.274365	      750.739
    99	       aR154	     3358.64	        1979	   0.0241321	     1872.81	   0.0276521	           0	           0	           0	           0	     0.26621	     0.27861	      754.489
   100	       oD109	     3424.70	     1978.02	 -0.00926783	     1871.49	 -0.00764801	           0	           0	           0	           0	    0.271525	    0.284227	      754.489
   101	       aR155	     3474.70	     1980.19	  -0.0341863	     1873.57	  -0.0340242	           0	           0	           0	           0	    0.275546	    0.288477	      758.239
   102	       oD108	     3499.70	     1982.22	  -0.0468261	     1875.61	  -0.0473831	           0	           0	           0	           0	    0.277555	    0.290599	      758.239
   103	       aR156	     3549.70	     1988.15	  -0.0717463	     1881.67	  -0.0737609	           0	           0	           0	           0	    0.281564	    0.294836	      761.989
   104	       oD109	     3615.76	     1999.83	   -0.105144	     1893.74	   -0.109059	           0	           0	           0	           0	    0.286837	    0.300407	      761.989
   105	       aR157	     3665.76	     2011.59	   -0.130063	     1905.97	   -0.135435	           0	           0	           0	           0	    0.290805	    0.304596	      765.739
   106	       oD108	     3690.76	     2018.41	   -0.142701	     1913.07	   -0.148792	           0	           0	           0	           0	     0.29278	    0.306679	      765.739
   107	       aR158	     3740.76	     2033.93	   -0.167617	     1929.27	   -0.175165	           0	           0	           0	           0	    0.296708	    0.310822	      769.489
   108	       oD113	     3806.09	     2057.99	    -0.20064	     1954.44	   -0.210067	           0	           0	           0	           0	    0.301791	    0.316178	      769.489
   109	    iITV1L06	     3806.09	     2057.99	    -0.20064	     1954.44	   -0.210067	           0	           0	           0	           0	    0.301791	    0.316178	      769.489
   110	       oD114	     3818.03	     2062.85	   -0.206674	     1959.53	   -0.216444	           0	           0	           0	           0	    0.302713	    0.317149	      769.489
   111	   kMAT1L06H	     3818.03	     2062.85	   -0.206674	     1959.53	   -0.216444	           0	           0	           0	           0	    0.302713	    0.317149	      769.489
   112	       oD112	     3857.98	     2080.17	   -0.226866	     1977.68	   -0.237785	           0	           0	           0	           0	    0.305782	    0.320378	      769.489
   113	    iIPM1L06	     3857.98	     2080.17	   -0.226866	     1977.68	   -0.237785	           0	           0	           0	           0	    0.305782	    0.320378	      769.489
   114	       oD105	     3859.82	     2081.01	     -0.2278	     1978.56	   -0.238772	           0	           0	           0	           0	    0.305924	    0.320527	      769.489
   115	    qMQ1L06A	     3869.82	     2029.62	     5.32009	      2037.6	    -5.71904	           0	           0	           0	           0	    0.306695	    0.321323	      769.489
   116	       oD106	     3879.82	     1924.66	     5.17572	     2153.64	    -5.88447	           0	           0	           0	           0	      0.3075	    0.322083	      769.489
   117	    qMQ1L06B	     3899.82	     1923.95	    -5.13901	     2154.35	     5.85008	           0	           0	           0	           0	    0.309184	    0.323534	      769.489
   118	       oD106	     3909.82	     2028.16	    -5.28148	     2038.98	     5.68658	           0	           0	           0	           0	     0.30999	    0.324294	      769.489
   119	    qMQ1L06C	     3919.82	     2079.19	    0.224386	     1980.25	    0.239489	           0	           0	           0	           0	    0.310761	    0.325089	      769.489
   120	       oD105	     3921.67	     2078.36	    0.223453	     1979.37	    0.238503	           0	           0	           0	           0	    0.310903	    0.325238	      769.489
   121	       oD107	     4002.58	     2045.51	     0.18258	     1944.27	    0.195301	           0	           0	           0	           0	     0.31715	    0.331804	      769.489
   122	       aR161	     4052.58	     2028.49	    0.157677	     1926.06	    0.168941	           0	           0	           0	           0	    0.321057	    0.335917	      773.239
   123	       oD108	     4077.58	     2020.93	    0.145046	     1917.94	    0.155591	           0	           0	           0	           0	    0.323022	    0.337987	      773.239
   124	       aR162	     4127.58	     2007.67	    0.120133	      1903.7	    0.129221	           0	           0	           0	           0	    0.326973	    0.342152	      776.989
   125	       oD109	     4193.64	        1994	   0.0867547	     1888.96	    0.093941	           0	           0	           0	           0	    0.332229	    0.347697	      776.989
   126	       aR163	     4243.64	     1986.57	   0.0618328	     1880.88	   0.0675616	           0	           0	           0	           0	    0.336227	     0.35192	      780.739
   127	       oD108	     4268.64	      1983.8	   0.0492002	     1877.84	   0.0542093	           0	           0	           0	           0	    0.338232	    0.354037	      780.739
   128	       aR164	     4318.64	     1980.12	   0.0242726	     1873.74	   0.0278243	           0	           0	           0	           0	    0.342247	     0.35828	      784.489
   129	       oD109	     4384.70	     1979.12	  -0.0091086	     1872.39	 -0.00745874	           0	           0	           0	           0	    0.347559	    0.363894	      784.489
   130	       aR165	     4434.70	     1981.28	  -0.0340398	     1874.46	  -0.0338474	           0	           0	           0	           0	    0.351578	    0.368142	      788.239
   131	       oD108	     4459.70	      1983.3	  -0.0466726	     1876.49	  -0.0471999	           0	           0	           0	           0	    0.353586	    0.370264	      788.239
   132	       aR166	     4509.70	     1989.21	  -0.0716052	     1882.52	  -0.0735899	           0	           0	           0	           0	    0.357592	    0.374498	      791.989
   133	       oD109	     4575.76	     2000.88	   -0.104985	     1894.58	   -0.108871	           0	           0	           0	           0	    0.362863	    0.380067	      791.989
   134	       aR167	     4625.76	     2012.62	   -0.129916	     1906.78	   -0.135259	           0	           0	           0	           0	    0.366829	    0.384254	      795.739
   135	       oD108	     4650.76	     2019.43	   -0.142547	     1913.88	    -0.14861	           0	           0	           0	           0	    0.368803	    0.386337	      795.739
   136	       aR168	     4700.76	     2034.93	   -0.167475	     1930.06	   -0.174995	           0	           0	           0	           0	    0.372729	    0.390478	      799.489
   137	       oD110	     4800.00	     2073.15	   -0.217611	     1970.05	   -0.227987	           0	           0	           0	           0	    0.380422	    0.398581	      799.489
   138	   kMAT1L07V	     4800.00	     2073.15	   -0.217611	     1970.05	   -0.227987	           0	           0	           0	           0	    0.380422	    0.398581	      799.489
   139	       oD104	     4817.98	     2081.14	   -0.226692	     1978.42	   -0.237586	           0	           0	           0	           0	    0.381799	     0.40003	      799.489
   140	    iIPM1L07	     4817.98	     2081.14	   -0.226692	     1978.42	   -0.237586	           0	           0	           0	           0	    0.381799	     0.40003	      799.489
   141	       oD105	     4819.82	     2081.97	   -0.227626	      1979.3	   -0.238572	           0	           0	           0	           0	     0.38194	    0.400179	      799.489
   142	    qMQ1L07A	     4829.82	     2030.56	     5.32284	     2038.36	    -5.72088	           0	           0	           0	           0	    0.382711	    0.400975	      799.489
   143	       oD106	     4839.82	     1925.54	     5.17838	     2154.44	    -5.88635	           0	           0	           0	           0	    0.383516	    0.401734	      799.489
   144	    qMQ1L07B	     4859.82	     1924.82	    -5.14104	     2155.14	     5.85252	           0	           0	           0	           0	    0.385199	    0.403185	      799.489
   145	       oD106	     4869.82	     2029.07	    -5.28355	     2039.72	     5.68895	           0	           0	           0	           0	    0.386004	    0.403944	      799.489
   146	    qMQ1L07C	     4879.82	     2080.12	    0.224795	     1980.96	    0.239886	           0	           0	           0	           0	    0.386776	    0.404739	      799.489
   147	       oD105	     4881.67	     2079.29	    0.223862	     1980.08	      0.2389	           0	           0	           0	           0	    0.386917	    0.404888	      799.489
   148	       oD107	     4962.58	     2046.37	    0.182999	     1944.91	    0.195706	           0	           0	           0	           0	    0.393161	    0.411452	      799.489
   149	       aR171	     5012.58	     2029.31	    0.158077	     1926.66	    0.169326	           0	           0	           0	           0	    0.397067	    0.415563	      803.239
   150	       oD108	     5037.58	     2021.73	     0.14545	     1918.53	    0.155978	           0	           0	           0	           0	    0.399031	    0.417633	      803.239
   151	       aR172	     5087.58	     2008.43	    0.120519	     1904.25	    0.129589	           0	           0	           0	           0	    0.402981	    0.421796	      806.989
   152	       oD109	     5153.64	     1994.71	   0.0871501	     1889.46	    0.094316	           0	           0	           0	           0	    0.408234	     0.42734	      806.989
   153	       aR173	     5203.64	     1987.24	   0.0622106	     1881.35	   0.0679184	           0	           0	           0	           0	    0.412232	    0.431561	      810.739
   154	       oD108	     5228.64	     1984.45	   0.0495817	     1878.29	   0.0545687	           0	           0	           0	           0	    0.414235	    0.433678	      810.739
   155	       aR174	     5278.64	     1980.74	   0.0246371	     1874.15	   0.0281659	           0	           0	           0	           0	     0.41825	     0.43792	      814.489
   156	       oD109	     5344.70	     1979.68	 -0.00873442	     1872.76	 -0.00711011	           0	           0	           0	           0	     0.42356	    0.443533	      814.489
   157	       aR175	     5394.70	     1981.81	  -0.0336823	     1874.79	  -0.0335162	           0	           0	           0	           0	    0.427578	    0.447781	      818.239
   158	       oD108	     5419.70	     1983.81	  -0.0463114	      1876.8	  -0.0468661	           0	           0	           0	           0	    0.429585	    0.449902	      818.239
   159	       aR176	     5469.70	     1989.68	  -0.0712605	     1882.81	  -0.0732733	           0	           0	           0	           0	    0.433591	    0.454136	      821.989
   160	       oD109	     5535.76	      2001.3	    -0.10463	     1894.82	   -0.108548	           0	           0	           0	           0	     0.43886	    0.459703	      821.989
   161	       aR177	     5585.76	     2013.01	   -0.129578	     1906.99	   -0.134953	           0	           0	           0	           0	    0.442826	     0.46389	      825.739
   162	       oD108	     5610.76	     2019.81	   -0.142206	     1914.07	   -0.148301	           0	           0	           0	           0	    0.444799	    0.465973	      825.739
   163	       aR178	     5660.76	     2035.28	   -0.167151	     1930.22	   -0.174704	           0	           0	           0	           0	    0.448724	    0.470113	      829.489
   164	       oD115	     5738.03	     2064.12	   -0.206176	     1960.41	   -0.215956	           0	           0	           0	           0	    0.454725	    0.476437	      829.489
   165	   kMAT1L08H	     5738.03	     2064.12	   -0.206176	     1960.41	   -0.215956	           0	           0	           0	           0	    0.454725	    0.476437	      829.489
   166	       oD112	     5777.98	      2081.4	   -0.226351	     1978.51	   -0.237283	           0	           0	           0	           0	    0.457793	    0.479665	      829.489
   167	    iIPM1L08	     5777.98	      2081.4	   -0.226351	     1978.51	   -0.237283	           0	           0	           0	           0	    0.457793	    0.479665	      829.489
   168	       oD105	     5779.82	     2082.24	   -0.227284	     1979.39	   -0.238269	           0	           0	           0	           0	    0.457934	    0.479814	      829.489
   169	    qMQ1L08A	     5789.82	     2030.81	     5.32386	     2038.45	    -5.72081	           0	           0	           0	           0	    0.458705	    0.480609	      829.489
   170	       oD106	     5799.82	     1925.77	     5.17937	     2154.52	    -5.88627	           0	           0	           0	           0	    0.459509	    0.481369	      829.489
   171	    qMQ1L08B	     5819.82	     1925.04	    -5.14124	     2155.21	     5.85304	           0	           0	           0	           0	    0.461192	     0.48282	      829.489
   172	       oD106	     5829.82	     2029.29	    -5.28374	     2039.79	     5.68944	           0	           0	           0	           0	    0.461998	    0.483579	      829.489
   173	    qMQ1L08C	     5839.82	     2080.33	    0.225195	     1981.02	    0.240209	           0	           0	           0	           0	    0.462769	    0.484374	      829.489
   174	       oD105	     5841.67	      2079.5	    0.224262	     1980.13	    0.239222	           0	           0	           0	           0	     0.46291	    0.484522	      829.489
   175	       oD107	     5922.58	     2046.52	    0.183397	     1944.92	    0.196023	           0	           0	           0	           0	    0.469154	    0.491086	      829.489
   176	       aR181	     5972.58	     2029.43	     0.15845	     1926.63	    0.169618	           0	           0	           0	           0	    0.473059	    0.495198	      833.239
   177	       oD108	     5997.58	     2021.82	    0.145822	     1918.49	    0.156269	           0	           0	           0	           0	    0.475023	    0.497267	      833.239
   178	       aR182	     6047.58	     2008.49	    0.120867	     1904.18	    0.129855	           0	           0	           0	           0	    0.478973	    0.501431	      836.989
   179	       oD109	     6113.64	     1994.72	    0.087496	     1889.35	   0.0945784	           0	           0	           0	           0	    0.484227	    0.506975	      836.989
   180	       aR183	     6163.64	     1987.22	   0.0625329	     1881.22	   0.0681568	           0	           0	           0	           0	    0.488224	    0.511197	      840.739
   181	       oD108	     6188.64	     1984.41	   0.0499033	     1878.14	   0.0548058	           0	           0	           0	           0	    0.490228	    0.513314	      840.739
   182	       aR184	     6238.64	     1980.67	   0.0249355	     1873.98	   0.0283795	           0	           0	           0	           0	    0.494242	    0.517556	      844.489
   183	       oD109	     6304.70	     1979.58	 -0.00843763	     1872.57	     -0.0069	           0	           0	           0	           0	    0.499553	     0.52317	      844.489
   184	       aR185	     6354.70	     1981.67	  -0.0334084	     1874.58	  -0.0333293	           0	           0	           0	           0	    0.503571	    0.527417	      848.239
   185	       oD108	     6379.70	     1983.66	  -0.0460381	     1876.58	  -0.0466804	           0	           0	           0	           0	    0.505578	    0.529539	      848.239
   186	       aR186	     6429.70	     1989.51	    -0.07101	     1882.57	  -0.0731107	           0	           0	           0	           0	    0.509584	    0.533773	      851.989
   187	       oD109	     6495.76	     2001.09	   -0.104382	     1894.56	   -0.108389	           0	           0	           0	           0	    0.514854	    0.539341	      851.989
   188	       aR187	     6545.76	     2012.78	   -0.129352	     1906.72	   -0.134817	           0	           0	           0	           0	     0.51882	    0.543529	      855.739
   189	       oD108	     6570.76	     2019.56	    -0.14198	     1913.79	   -0.148167	           0	           0	           0	           0	    0.520793	    0.545612	      855.739
   190	       aR188	     6620.76	     2035.01	   -0.166948	     1929.93	   -0.174592	           0	           0	           0	           0	    0.524719	    0.549753	      859.489
   191	       oD116	     6720.00	     2073.12	   -0.217074	     1969.84	   -0.227582	           0	           0	           0	           0	    0.532412	    0.557857	      859.489
   192	   kMAT1L09V	     6720.00	     2073.12	   -0.217074	     1969.84	   -0.227582	           0	           0	           0	           0	    0.532412	    0.557857	      859.489
   193	       oD104	     6737.98	     2081.09	   -0.226153	      1978.2	    -0.23718	           0	           0	           0	           0	    0.533789	    0.559306	      859.489
   194	    iIPM1L09	     6737.98	     2081.09	   -0.226153	      1978.2	    -0.23718	           0	           0	           0	           0	    0.533789	    0.559306	      859.489
   195	       oD105	     6739.82	     2081.93	   -0.227086	     1979.07	   -0.238166	           0	           0	           0	           0	     0.53393	    0.559455	      859.489
   196	    qMQ1L09A	     6749.82	      2030.5	     5.32322	     2038.12	    -5.71982	           0	           0	           0	           0	    0.534701	    0.560251	      859.489
   197	       oD106	     6759.82	     1925.48	     5.17874	     2154.17	    -5.88525	           0	           0	           0	           0	    0.535506	    0.561011	      859.489
